ID,Cluster_Labels
16,0
23,1
29,1
32,0
33,0
35,0
36,0
39,1
51,0
55,1
56,2
57,0
59,2
62,1
73,0
74,2
76,1
78,2
80,1
86,1
88,1
95,0
96,2
97,1
103,1
110,1
114,0
117,2
133,2
139,0
140,0
143,2
145,0
153,2
154,1
163,2
164,2
165,2
173,2
175,1
177,0
179,2
180,2
184,1
188,1
195,0
197,2
199,0
201,2
203,0
206,2
209,1
211,1
216,1
222,0
223,1
227,1
228,2
229,2
230,0
233,0
234,0
240,1
241,2
245,2
252,2
255,1
257,0
260,1
263,1
277,1
278,2
282,0
284,0
286,1
287,2
288,0
290,0
292,0
294,0
296,0
298,0
300,1
301,2
302,2
304,0
308,1
310,0
312,2
315,0
317,1
319,1
322,2
326,0
327,1
328,2
331,1
332,1
333,0
335,2
336,0
338,2
339,0
340,1
345,1
346,2
351,0
354,1
357,2
358,1
371,2
372,1
376,2
378,1
380,2
391,1
392,2
393,1
394,0
396,1
398,1
402,1
403,2
407,1
408,0
412,1
413,1
415,1
416,1
426,0
427,1
429,0
430,0
431,2
434,0
440,2
443,1
444,1
445,2
447,1
448,2
449,2
452,1
453,0
455,0
458,1
459,0
462,1
464,1
466,1
467,2
473,2
478,1
479,1
486,1
491,2
492,1
494,0
495,0
497,1
500,2
501,0
504,1
505,0
507,0
515,0
519,1
521,0
522,1
529,0
533,0
535,0
536,1
537,1
538,1
541,1
543,2
545,0
546,0
547,0
551,1
552,2
556,1
557,2
560,2
561,2
563,2
564,1
567,2
569,0
582,2
586,0
589,2
590,1
592,1
594,0
598,0
604,2
605,0
607,0
609,0
610,0
614,0
615,2
616,1
617,0
618,1
619,2
622,2
625,0
627,1
629,1
630,0
639,1
640,0
641,2
645,2
646,1
647,0
654,2
656,2
662,1
665,2
666,0
667,2
672,1
676,1
677,1
678,2
679,0
680,0
682,1
683,1
685,0
687,0
697,2
698,0
705,2
706,1
714,1
720,2
724,2
727,0
728,2
730,1
732,0
733,1
735,0
745,0
751,1
756,2
757,2
765,2
767,2
768,1
770,0
772,0
774,2
775,1
776,1
777,2
778,2
780,0
782,1
786,2
789,1
791,0
799,2
800,1
803,2
804,2
809,1
810,0
817,1
820,2
821,0
822,1
826,0
827,1
828,1
832,2
836,0
837,2
841,0
843,0
850,2
851,0
852,2
860,0
862,2
866,1
867,1
868,0
869,2
874,1
876,1
885,0
887,0
891,0
897,2
899,2
900,0
913,0
943,0
944,0
946,0
948,0
957,0
961,2
964,1
966,1
970,2
982,1
984,2
985,0
988,2
1001,0
1011,2
1015,1
1019,0
1029,0
1044,0
1046,1
1054,0
1058,2
1060,2
1064,1
1065,1
1066,2
1077,0
1082,0
1089,1
1090,1
1092,0
1096,2
1101,2
1102,1
1103,2
1105,0
1106,1
1108,0
1117,2
1119,2
1122,2
1128,0
1132,0
1143,2
1145,2
1146,2
1147,1
1155,2
1157,2
1158,2
1165,2
1170,2
1171,0
1172,2
1173,2
1174,0
1182,0
1185,0
1186,1
1189,0
1191,0
1194,1
1195,2
1204,1
1206,0
1208,0
1209,2
1215,0
1217,2
1223,2
1226,0
1227,1
1231,1
1233,0
1244,0
1251,2
1254,0
1260,1
1266,1
1271,2
1279,1
1281,1
1286,2
1304,1
1310,0
25,1
44,2
100,1
280,0
305,2
324,2
370,1
411,0
419,0
425,1
675,0
748,1
754,0
784,0
854,0
875,2
903,0
904,2
927,1
929,0
998,2
1033,0
1068,0
1140,0
1057,1
138,1
